,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,"Introduction - Live at the Los Angeles Forum, Inglewood, CA - April 26, 1969",Jimi Hendrix,2K8x0Nf3AnhDjx9899Bl4Y,0.458,0.564,9,-16.031,1,0.893,0.735,0.0,0.633,0.282,93.635,audio_features,2K8x0Nf3AnhDjx9899Bl4Y,spotify:track:2K8x0Nf3AnhDjx9899Bl4Y,https://api.spotify.com/v1/tracks/2K8x0Nf3AnhDjx9899Bl4Y,https://api.spotify.com/v1/audio-analysis/2K8x0Nf3AnhDjx9899Bl4Y,147227,3
0,My Friend,Jimi Hendrix,065DgHzdiTnwiwEEBHFrIN,0.399,0.432,7,-16.663,1,0.304,0.23,0.0,0.797,0.65,204.671,audio_features,065DgHzdiTnwiwEEBHFrIN,spotify:track:065DgHzdiTnwiwEEBHFrIN,https://api.spotify.com/v1/tracks/065DgHzdiTnwiwEEBHFrIN,https://api.spotify.com/v1/audio-analysis/065DgHzdiTnwiwEEBHFrIN,277347,3
0,"Tax Free - Live at the Los Angeles Forum, Inglewood, CA - April 26, 1969",Jimi Hendrix,6aafnoN8DyLju1SVjN3YVH,0.377,0.721,1,-12.286,1,0.134,0.00257,0.459,0.458,0.458,88.54,audio_features,6aafnoN8DyLju1SVjN3YVH,spotify:track:6aafnoN8DyLju1SVjN3YVH,https://api.spotify.com/v1/tracks/6aafnoN8DyLju1SVjN3YVH,https://api.spotify.com/v1/audio-analysis/6aafnoN8DyLju1SVjN3YVH,934027,4
0,Little Drummer Boy/Silent Night/Auld Lang Syne - Extended Version,Jimi Hendrix,0D4ZDFhwclf2FxZb5wm3qm,0.31,0.571,0,-10.02,1,0.0309,0.0314,0.71,0.0948,0.446,92.235,audio_features,0D4ZDFhwclf2FxZb5wm3qm,spotify:track:0D4ZDFhwclf2FxZb5wm3qm,https://api.spotify.com/v1/tracks/0D4ZDFhwclf2FxZb5wm3qm,https://api.spotify.com/v1/audio-analysis/0D4ZDFhwclf2FxZb5wm3qm,445533,4
0,Manic Depression,Jimi Hendrix,6Q0k5yV4eDcw9RlNCpgIEw,0.339,0.97,1,-5.03,1,0.136,0.0135,0.111,0.154,0.753,149.392,audio_features,6Q0k5yV4eDcw9RlNCpgIEw,spotify:track:6Q0k5yV4eDcw9RlNCpgIEw,https://api.spotify.com/v1/tracks/6Q0k5yV4eDcw9RlNCpgIEw,https://api.spotify.com/v1/audio-analysis/6Q0k5yV4eDcw9RlNCpgIEw,222067,3
0,If 6 Was 9,Jimi Hendrix,3pKT3rCnFIP2ioyUS2WO5s,0.416,0.666,8,-9.026,1,0.204,0.0183,0.265,0.809,0.518,110.822,audio_features,3pKT3rCnFIP2ioyUS2WO5s,spotify:track:3pKT3rCnFIP2ioyUS2WO5s,https://api.spotify.com/v1/tracks/3pKT3rCnFIP2ioyUS2WO5s,https://api.spotify.com/v1/audio-analysis/3pKT3rCnFIP2ioyUS2WO5s,335093,3
0,"Voodoo Child (Slight Return) - Live In Maui, 1970",Jimi Hendrix,4Bp3SVvfb1dbq9UWuABAPt,0.341,0.814,1,-10.19,1,0.0827,0.000366,0.807,0.128,0.695,110.716,audio_features,4Bp3SVvfb1dbq9UWuABAPt,spotify:track:4Bp3SVvfb1dbq9UWuABAPt,https://api.spotify.com/v1/tracks/4Bp3SVvfb1dbq9UWuABAPt,https://api.spotify.com/v1/audio-analysis/4Bp3SVvfb1dbq9UWuABAPt,432760,4
0,Hear My Train a Comin',Jimi Hendrix,7HOVaYXOF7StatMCYPmyFJ,0.349,0.58,1,-9.108,1,0.0507,0.272,0.677,0.367,0.565,144.275,audio_features,7HOVaYXOF7StatMCYPmyFJ,spotify:track:7HOVaYXOF7StatMCYPmyFJ,https://api.spotify.com/v1/tracks/7HOVaYXOF7StatMCYPmyFJ,https://api.spotify.com/v1/audio-analysis/7HOVaYXOF7StatMCYPmyFJ,445653,4
0,Power of Soul,Jimi Hendrix,6TlOU5zqR3533QYwjQUdGP,0.474,0.602,1,-10.853,1,0.0476,0.387,0.00241,0.224,0.812,83.326,audio_features,6TlOU5zqR3533QYwjQUdGP,spotify:track:6TlOU5zqR3533QYwjQUdGP,https://api.spotify.com/v1/tracks/6TlOU5zqR3533QYwjQUdGP,https://api.spotify.com/v1/audio-analysis/6TlOU5zqR3533QYwjQUdGP,355347,4
0,"Star Spangled Banner - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,3lpa6fzS3rSAbRogEhWxu7,0.187,0.988,4,-3.68,1,0.253,0.364,0.818,0.798,0.129,112.361,audio_features,3lpa6fzS3rSAbRogEhWxu7,spotify:track:3lpa6fzS3rSAbRogEhWxu7,https://api.spotify.com/v1/tracks/3lpa6fzS3rSAbRogEhWxu7,https://api.spotify.com/v1/audio-analysis/3lpa6fzS3rSAbRogEhWxu7,223480,4
0,Pali Gap,Jimi Hendrix,3lZhUMfk58eEMkzoAPBCSn,0.431,0.701,10,-8.292,0,0.0521,0.275,0.735,0.0748,0.655,103.206,audio_features,3lZhUMfk58eEMkzoAPBCSn,spotify:track:3lZhUMfk58eEMkzoAPBCSn,https://api.spotify.com/v1/tracks/3lZhUMfk58eEMkzoAPBCSn,https://api.spotify.com/v1/audio-analysis/3lZhUMfk58eEMkzoAPBCSn,308213,4
0,Earth Blues,Jimi Hendrix,7aAholeRCIGZD1QhHYKDDq,0.632,0.76,8,-7.747,0,0.035,0.651,0.000328,0.113,0.747,110.227,audio_features,7aAholeRCIGZD1QhHYKDDq,spotify:track:7aAholeRCIGZD1QhHYKDDq,https://api.spotify.com/v1/tracks/7aAholeRCIGZD1QhHYKDDq,https://api.spotify.com/v1/audio-analysis/7aAholeRCIGZD1QhHYKDDq,213933,4
0,"Johnny B. Goode - Live Berkeley Community Center, Berkeley, CA May 30, 1970",Jimi Hendrix,2Evi89iMO3vQMsGPMuSwhx,0.201,0.855,6,-11.133,0,0.144,0.0136,0.000206,0.7,0.373,173.199,audio_features,2Evi89iMO3vQMsGPMuSwhx,spotify:track:2Evi89iMO3vQMsGPMuSwhx,https://api.spotify.com/v1/tracks/2Evi89iMO3vQMsGPMuSwhx,https://api.spotify.com/v1/audio-analysis/2Evi89iMO3vQMsGPMuSwhx,283787,4
0,Bold as Love,Jimi Hendrix,0dctFolLOGtoeTN2uzD3qV,0.366,0.702,1,-6.942,1,0.0633,0.00947,0.000196,0.0887,0.596,143.826,audio_features,0dctFolLOGtoeTN2uzD3qV,spotify:track:0dctFolLOGtoeTN2uzD3qV,https://api.spotify.com/v1/tracks/0dctFolLOGtoeTN2uzD3qV,https://api.spotify.com/v1/audio-analysis/0dctFolLOGtoeTN2uzD3qV,251933,4
0,Dolly Dagger,Jimi Hendrix,2AKcU2vk8MJrmXdRM9jwBU,0.517,0.703,8,-11.767,1,0.0709,0.0762,3.22e-05,0.141,0.811,121.14,audio_features,2AKcU2vk8MJrmXdRM9jwBU,spotify:track:2AKcU2vk8MJrmXdRM9jwBU,https://api.spotify.com/v1/tracks/2AKcU2vk8MJrmXdRM9jwBU,https://api.spotify.com/v1/audio-analysis/2AKcU2vk8MJrmXdRM9jwBU,284333,4
0,Wild Thing - Live At Monterey,Jimi Hendrix,0rVbm4oGriIeklEVUIE6ID,0.197,0.71,8,-9.574,0,0.0574,0.000893,0.357,0.123,0.402,86.029,audio_features,0rVbm4oGriIeklEVUIE6ID,spotify:track:0rVbm4oGriIeklEVUIE6ID,https://api.spotify.com/v1/tracks/0rVbm4oGriIeklEVUIE6ID,https://api.spotify.com/v1/audio-analysis/0rVbm4oGriIeklEVUIE6ID,469227,4
0,Bleeding Heart,Jimi Hendrix,5QytK3mFNMckdsgVdCv5Lf,0.505,0.617,8,-8.517,1,0.0479,0.637,0.00405,0.128,0.756,144.962,audio_features,5QytK3mFNMckdsgVdCv5Lf,spotify:track:5QytK3mFNMckdsgVdCv5Lf,https://api.spotify.com/v1/tracks/5QytK3mFNMckdsgVdCv5Lf,https://api.spotify.com/v1/audio-analysis/5QytK3mFNMckdsgVdCv5Lf,238307,4
0,Send My Love to Linda,Jimi Hendrix,2bE5QqVc9q4w5ETEKAazQr,0.368,0.499,8,-10.987,1,0.0337,0.398,0.222,0.16,0.404,126.783,audio_features,2bE5QqVc9q4w5ETEKAazQr,spotify:track:2bE5QqVc9q4w5ETEKAazQr,https://api.spotify.com/v1/tracks/2bE5QqVc9q4w5ETEKAazQr,https://api.spotify.com/v1/audio-analysis/2bE5QqVc9q4w5ETEKAazQr,276787,4
0,"Hey Joe - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,3CPLiX94bQmtr0vGbl38MR,0.324,0.964,9,-5.143,1,0.285,0.00406,0.0951,0.82,0.415,84.22,audio_features,3CPLiX94bQmtr0vGbl38MR,spotify:track:3CPLiX94bQmtr0vGbl38MR,https://api.spotify.com/v1/tracks/3CPLiX94bQmtr0vGbl38MR,https://api.spotify.com/v1/audio-analysis/3CPLiX94bQmtr0vGbl38MR,352733,4
0,Message To Love - Live,Jimi Hendrix,6V6qNVDwUaaIkcC46Fqk98,0.386,0.75,11,-7.011,1,0.055,0.0151,0.00632,0.21,0.652,116.165,audio_features,6V6qNVDwUaaIkcC46Fqk98,spotify:track:6V6qNVDwUaaIkcC46Fqk98,https://api.spotify.com/v1/tracks/6V6qNVDwUaaIkcC46Fqk98,https://api.spotify.com/v1/audio-analysis/6V6qNVDwUaaIkcC46Fqk98,325001,4
0,We Gotta Live Together - Live,Jimi Hendrix,2tp0cJS00r2bvUxqyIP25Z,0.394,0.752,1,-7.23,1,0.05,0.0518,0.106,0.963,0.679,112.448,audio_features,2tp0cJS00r2bvUxqyIP25Z,spotify:track:2tp0cJS00r2bvUxqyIP25Z,https://api.spotify.com/v1/tracks/2tp0cJS00r2bvUxqyIP25Z,https://api.spotify.com/v1/audio-analysis/2tp0cJS00r2bvUxqyIP25Z,349789,4
0,Izabella,Jimi Hendrix,4kETOLpw7MYYo37hZSDXLl,0.537,0.806,0,-7.638,1,0.0631,0.353,0.00445,0.165,0.749,106.087,audio_features,4kETOLpw7MYYo37hZSDXLl,spotify:track:4kETOLpw7MYYo37hZSDXLl,https://api.spotify.com/v1/tracks/4kETOLpw7MYYo37hZSDXLl,https://api.spotify.com/v1/audio-analysis/4kETOLpw7MYYo37hZSDXLl,222960,4
0,Stepping Stone,Jimi Hendrix,5OVIlpHyF3gkk136qREcw9,0.387,0.915,9,-8.64,1,0.116,0.00582,8.62e-05,0.0668,0.681,142.467,audio_features,5OVIlpHyF3gkk136qREcw9,spotify:track:5OVIlpHyF3gkk136qREcw9,https://api.spotify.com/v1/tracks/5OVIlpHyF3gkk136qREcw9,https://api.spotify.com/v1/audio-analysis/5OVIlpHyF3gkk136qREcw9,192640,4
0,Sunshine Of Your Love,Jimi Hendrix,4LfMd7tiyo7y2nRUq9NTtc,0.503,0.746,5,-10.065,0,0.065,0.0222,0.354,0.37,0.75,133.133,audio_features,4LfMd7tiyo7y2nRUq9NTtc,spotify:track:4LfMd7tiyo7y2nRUq9NTtc,https://api.spotify.com/v1/tracks/4LfMd7tiyo7y2nRUq9NTtc,https://api.spotify.com/v1/audio-analysis/4LfMd7tiyo7y2nRUq9NTtc,405787,4
0,"Foxey Lady - Live In Maui, 1970",Jimi Hendrix,7blY9jGplyzTiS2qltyfFe,0.319,0.858,10,-9.913,0,0.0839,0.00381,0.232,0.664,0.471,106.231,audio_features,7blY9jGplyzTiS2qltyfFe,spotify:track:7blY9jGplyzTiS2qltyfFe,https://api.spotify.com/v1/tracks/7blY9jGplyzTiS2qltyfFe,https://api.spotify.com/v1/audio-analysis/7blY9jGplyzTiS2qltyfFe,280267,4
