,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Enter Sandman (Remastered),Metallica,3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,audio_features,3VqHuw0wFlIHcIPWkhIbdQ,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/tracks/3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/audio-analysis/3VqHuw0wFlIHcIPWkhIbdQ,331560,4
0,Master of Puppets (Remastered),Metallica,54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,audio_features,54bm2e3tk8cliUz3VSdCPZ,spotify:track:54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ,515387,4
0,For Whom The Bell Tolls (Remastered),Metallica,51YZAJhOwIC5Gg3jMbAmhZ,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,audio_features,51YZAJhOwIC5Gg3jMbAmhZ,spotify:track:51YZAJhOwIC5Gg3jMbAmhZ,https://api.spotify.com/v1/tracks/51YZAJhOwIC5Gg3jMbAmhZ,https://api.spotify.com/v1/audio-analysis/51YZAJhOwIC5Gg3jMbAmhZ,309973,4
0,One (Remastered),Metallica,0LAcM6I7ijW4VVW0aytl1t,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,audio_features,0LAcM6I7ijW4VVW0aytl1t,spotify:track:0LAcM6I7ijW4VVW0aytl1t,https://api.spotify.com/v1/tracks/0LAcM6I7ijW4VVW0aytl1t,https://api.spotify.com/v1/audio-analysis/0LAcM6I7ijW4VVW0aytl1t,446146,3
0,Nothing Else Matters (Remastered),Metallica,2CtemffYhT0DJWcT1XW047,0.547,0.394,4,-9.793,0,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,audio_features,2CtemffYhT0DJWcT1XW047,spotify:track:2CtemffYhT0DJWcT1XW047,https://api.spotify.com/v1/tracks/2CtemffYhT0DJWcT1XW047,https://api.spotify.com/v1/audio-analysis/2CtemffYhT0DJWcT1XW047,388733,3
0,Lux Æterna,Metallica,3pwmJJRlr8nXNN9PFD18np,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,audio_features,3pwmJJRlr8nXNN9PFD18np,spotify:track:3pwmJJRlr8nXNN9PFD18np,https://api.spotify.com/v1/tracks/3pwmJJRlr8nXNN9PFD18np,https://api.spotify.com/v1/audio-analysis/3pwmJJRlr8nXNN9PFD18np,205680,4
0,Sad But True (Remastered),Metallica,5UaDi8KzCGJqFfVAOBfXhi,0.624,0.876,7,-6.005,1,0.0342,0.000926,0.00164,0.0561,0.453,89.24,audio_features,5UaDi8KzCGJqFfVAOBfXhi,spotify:track:5UaDi8KzCGJqFfVAOBfXhi,https://api.spotify.com/v1/tracks/5UaDi8KzCGJqFfVAOBfXhi,https://api.spotify.com/v1/audio-analysis/5UaDi8KzCGJqFfVAOBfXhi,324600,4
0,The Unforgiven (Remastered),Metallica,7lwvxYumAEo10lzAplRGXM,0.531,0.583,7,-9.47,1,0.0256,0.0184,0.00624,0.255,0.207,139.503,audio_features,7lwvxYumAEo10lzAplRGXM,spotify:track:7lwvxYumAEo10lzAplRGXM,https://api.spotify.com/v1/tracks/7lwvxYumAEo10lzAplRGXM,https://api.spotify.com/v1/audio-analysis/7lwvxYumAEo10lzAplRGXM,387160,4
0,Wherever I May Roam (Remastered),Metallica,745sNpjWbAxo2MA2zSYbyD,0.539,0.834,9,-7.459,0,0.0364,0.000646,0.000516,0.119,0.339,131.383,audio_features,745sNpjWbAxo2MA2zSYbyD,spotify:track:745sNpjWbAxo2MA2zSYbyD,https://api.spotify.com/v1/tracks/745sNpjWbAxo2MA2zSYbyD,https://api.spotify.com/v1/audio-analysis/745sNpjWbAxo2MA2zSYbyD,404333,4
0,Fuel,Metallica,1tTPC0hsnXq1IGpvWY54JC,0.491,0.951,1,-3.775,1,0.0465,2.3e-05,0.00354,0.0424,0.555,106.948,audio_features,1tTPC0hsnXq1IGpvWY54JC,spotify:track:1tTPC0hsnXq1IGpvWY54JC,https://api.spotify.com/v1/tracks/1tTPC0hsnXq1IGpvWY54JC,https://api.spotify.com/v1/audio-analysis/1tTPC0hsnXq1IGpvWY54JC,269733,4
